137,玩具总动员3,2010,8.9,505821
138,傲慢与偏见,2005,8.7,784721
139,新世界,2013,8.9,423177
140,釜山行,2016,8.6,1180244
141,神偷奶爸,2010,8.7,934419
142,玛丽和马克思,2009,9.0,417857
143,被解救的姜戈,2012,8.8,599280
144,告白,2010,8.8,663806
145,大鱼,2003,8.8,561455
146,哪吒闹海,1979,9.2,254544
147,射雕英雄传之东成西就,1993,8.7,626893
148,模仿游戏,2014,8.8,636574
149,头号玩家,2018,8.7,1348132
150,喜宴,1993,9.0,355345
151,阳光姐妹淘,2011,8.8,584442
152,我是山姆,2001,9.0,332767
153,恐怖直播,2013,8.7,642403
154,九品芝麻官,1994,8.7,662811
155,花样年华,2000,8.7,596102
156,茶馆,1982(中国大陆),9.6,138495
157,血战钢锯岭,2016,8.7,773278
158,七武士,1954,9.3,194435
159,色，戒,2007,8.7,787523
160,头脑特工队,2015,8.8,600101
161,惊魂记,1960,9.0,286628
162,黑客帝国3：矩阵革命,2003,8.8,440316
163,你的名字。,2016,8.5,1385101
164,电锯惊魂,2004,8.8,522995
165,三块广告牌,2017,8.7,809394
166,达拉斯买家俱乐部,2013,8.8,445838
167,疯狂原始人,2013,8.7,826562
168,心迷宫,2014,8.7,511604
169,谍影重重3,2007,8.8,411612
170,上帝之城,2002,9.0,297736
171,卢旺达饭店,2004,8.9,324783
172,英雄本色,1986,8.6,530859
173,纵横四海,1991,8.8,418206
174,风之谷,1984,8.9,349542
175,海街日记,2015,8.8,440220
176,爱在午夜降临前,2013,8.9,393984
177,绿里奇迹,1999,8.9,323379
178,记忆碎片,2000,8.7,592071
179,岁月神偷,2010,8.7,568530
180,忠犬八公物语,1987,9.2,192547
181,荒蛮故事,2014,8.8,436787
182,疯狂的石头,2006,8.6,806971
183,雨中曲,1952,9.1,220449
184,小偷家族,2018,8.7,802087
185,爆裂鼓手,2014,8.7,578713
186,2001太空漫游,1968,8.9,320225
187,无敌破坏王,2012,8.7,528251
188,背靠背，脸对脸,1994,9.5,128336
189,小丑,2019,8.7,989065
190,无间道2,2003,8.7,468434
191,贫民窟的百万富翁,2008,8.6,735859
192,冰川时代,2002,8.6,603157
193,东邪西毒,1994,8.6,568967
194,恐怖游轮,2009,8.5,845966
195,心灵奇旅,2020,8.7,959004
196,牯岭街少年杀人事件,1991,8.9,292974
197,真爱至上,2003,8.6,723782
198,遗愿清单,2007,8.7,451631
199,你看起来好像很好吃,2010,8.9,328241
200,魔女宅急便,1989,8.7,451337
201,东京教父,2003,9.0,223919
202,大佛普拉斯,2017,8.7,445605
203,黑天鹅,2010,8.6,770952
204,可可西里,2004,8.9,298510
205,城市之光,1931,9.3,143238
206,源代码,2011,8.5,822744
207,雨人,1988,8.7,398127
208,恋恋笔记本,2004,8.5,659762
209,海边的曼彻斯特,2016,8.6,524798
210,初恋这件小事,2010,8.5,969606
211,人工智能,2001,8.7,438210
212,虎口脱险,1966,8.9,252232
213,波西米亚狂想曲,2018,8.6,593558
214,青蛇,1993,8.6,515728
215,终结者2：审判日,1991,8.8,336442
216,罗生门,1950,8.8,309036
217,萤火虫之墓,1988,8.7,400367
218,疯狂的麦克斯4：狂暴之路,2015,8.7,518980
219,新龙门客栈,1992,8.7,435931
220,千钧一发,1997,8.8,291536
221,无耻混蛋,2009,8.6,467793
222,崖上的波妞,2008,8.6,485207
223,奇迹男孩,2017,8.6,544867
224,末路狂花,1991,8.9,246804
225,二十二,2015,8.7,288299
226,彗星来的那一夜,2013,8.6,567072
227,黑客帝国2：重装上阵,2003,8.7,399866
228,花束般的恋爱,2021,8.6,598498
229,血钻,2006,8.7,373995
230,爱乐之城,2016,8.4,877800
231,房间,2015,8.8,364104
232,战争之王,2005,8.7,362292
233,步履不停,2008,8.8,274747
234,魂断蓝桥,1940,8.8,273906
235,火星救援,2015,8.5,713812
236,芙蓉镇,1987,9.3,131136
237,哈利·波特与死亡圣器(上),2010,8.5,560555
238,千年女优,2001,8.8,261005
239,谍影重重2,2004,8.7,346330
240,阿飞正传,1990,8.5,503177
241,燃情岁月,1994,8.8,282267
242,弱点,2009,8.7,301232
243,谍影重重,2002,8.6,418428
244,朗读者,2008,8.6,448723
245,再次出发之纽约遇见你,2013,8.6,421050
246,哈利·波特与凤凰社,2007,8.5,552798
247,香水,2006,8.5,537216
248,白日梦想家,2013,8.6,457221
249,海洋,2009,9.1,155194
250,穿越时空的少女,2006,8.6,376624
